Index,Prime,Prime_Diff,Prime_Density
167,991,8.0,5.934131736526946
168,997,6.0,5.934523809523809
169,1009,12.0,5.970414201183432
170,1013,4.0,5.958823529411765
171,1019,6.0,5.95906432748538
172,1021,2.0,5.936046511627907
173,1031,10.0,5.959537572254336
174,1033,2.0,5.936781609195402
175,1039,6.0,5.937142857142857
176,1049,10.0,5.9602272727272725
177,1051,2.0,5.937853107344632
178,1061,10.0,5.96067415730337
179,1063,2.0,5.93854748603352
180,1069,6.0,5.938888888888889
181,1087,18.0,6.005524861878453
182,1091,4.0,5.9945054945054945
183,1093,2.0,5.972677595628415
184,1097,4.0,5.961956521739131
185,1103,6.0,5.962162162162162
186,1109,6.0,5.962365591397849
187,1117,8.0,5.973262032085562
188,1123,6.0,5.973404255319149
189,1129,6.0,5.973544973544974
190,1151,22.0,6.057894736842106
191,1153,2.0,6.036649214659686
192,1163,10.0,6.057291666666667
193,1171,8.0,6.067357512953368
194,1181,10.0,6.087628865979381
195,1187,6.0,6.087179487179487
196,1193,6.0,6.086734693877551
197,1201,8.0,6.096446700507614
198,1213,12.0,6.126262626262626
199,1217,4.0,6.115577889447236
200,1223,6.0,6.115
201,1229,6.0,6.114427860696518
202,1231,2.0,6.094059405940594
203,1237,6.0,6.093596059113301
204,1249,12.0,6.122549019607843
205,1259,10.0,6.1414634146341465
206,1277,18.0,6.199029126213592
207,1279,2.0,6.178743961352657
208,1283,4.0,6.168269230769231
209,1289,6.0,6.167464114832536
210,1291,2.0,6.147619047619048
211,1297,6.0,6.1469194312796205
212,1301,4.0,6.136792452830188
213,1303,2.0,6.117370892018779
214,1307,4.0,6.107476635514018
215,1319,12.0,6.134883720930232
216,1321,2.0,6.1157407407407405
217,1327,6.0,6.11520737327189
218,1361,34.0,6.243119266055046
219,1367,6.0,6.242009132420091
220,1373,6.0,6.240909090909091
221,1381,8.0,6.248868778280543
222,1399,18.0,6.301801801801802
223,1409,10.0,6.318385650224215
224,1423,14.0,6.352678571428571
225,1427,4.0,6.342222222222222
226,1429,2.0,6.323008849557522
227,1433,4.0,6.312775330396476
228,1439,6.0,6.31140350877193
229,1447,8.0,6.318777292576419
230,1451,4.0,6.308695652173913
231,1453,2.0,6.29004329004329
232,1459,6.0,6.288793103448276
233,1471,12.0,6.313304721030043
234,1481,10.0,6.329059829059829
